Name,S,z_abs,a,b_1,b_2,c,x_e,x_p,w,n,x_0,w_50,w_20,tau_peak,tau_int,SNR,chi,Class,Reference 
J130556.95+395621.5,0.036,0.153,1.56,7.145,0.424,7.192,54.03,56,-1.15,0.061,-1363.67,13.386,29.323,0.802,13.941,11.842,15.813,0,M17  
J131535.10+620728.4,0.045,0.031,0.07,0.692,0.127,0.049,127.424,130.947,-0.552,3.362,146.905,274.583,331.669,0.058,11.393,67.915,1.247,0,M17  
J131739.20+411545.6,0.246,0.066,2.108e9,0.019,0.398,0,224.735,0.1,-121.927,0,75.942,134.38,241.888,0.022,3.613,735.139,0.029,0,G15-M17  
J132035.40+340821.7,0.097,0.023,0.15,0.193,0.123,0,95.293,0.1,7.525,0,41.807,274.393,399.718,0.135,38.198,253.446,0.324,0,G15-M17  
J132513.37+395553.2,0.037,0.076,0.036,0.797,0.023,0,94.836,0.1,10.983,0,260.909,573.697,973.273,0.027,16.832,51.592,1.208,0,G15-M17  
J133455.94+134431.7,0.026,0.023,0.176,0.929,1.245,0,121.888,0.1,2.093,0,-101.289,70.609,89.639,0.176,12.424,14.745,25.293,0,M17  
J133817.24+481629.7,0.079,0.028,0.013,0.466,2.942,0.005,137.631,138.077,4.26,4.152,132.12,185.079,205.138,0.03,3.762,74.714,1.109,0,M17  
J134035.20+444817.3,0.036,0.065,0.434,0.361,2.389,0,92.404,0.1,0.502,0,-13.573,38.203,64.365,0.249,10.62,111.694,1.214,0,G15-M17  
J134111.14+302241.3,0.039,0.04,0.171,0.215,0.075,0,124.977,0.1,-0.517,0,39.032,197.09,318.785,0.047,10.279,71.594,3.063,0,M17  
J134442.16+555313.5,0.132,0.037,0.067,0.239,0.304,0.005,99.61,104.324,16.199,1.556,90.195,562.21,639.378,0.09,44.382,390.852,0.083,0,G15-M17  
J134649.45+142401.7,0.162,0.022,0.017,0.946,6.985,0,115.73,0.1,1.335,0,-205.957,45.087,57.266,0.017,0.762,150.515,0.264,0,M17  
J135217.88+312646.4,3.53,0.045,0.029,0.314,0.456,0,84.163,81.852,4.313,6.662,-130.463,105.418,223.623,0.057,7.645,5829.725,0.018,0,G15-M17  
J135646.10+102609.0,0.061,0.123,0.059,6.237,1.267,0,137.793,0.1,6.752,0,184.09,250.194,261.609,0.059,14.816,21.264,10.145,0,M17  
J135806.05+214021.1,0.061,0.066,0.023,0.747,0.624,0.519,130.546,131.506,2.432,2.653,24.671,45.62,72.875,0.162,9.724,82.203,1.702,0,M17  
J142210.81+210554.1,0.084,0.191,0.493e9,0.046,0.356,0,134.178,0.1,-48.709,0,-168.21,116.382,186.48,0.033,4.302,148.478,0.334,0,G15-M17  
J143521.67+505122.9,0.141,0.1,0.318,0.591,0.103,0.036,75.775,83.014,-6.428,3.172,-69.643,225.865,300.9,0.008,1.577,321.335,0.112,0,G15-M17  
J144921.58+631614.0,2.5,0.042,0.008,0.059,0.181,0.12,102.638,91.291,-4.547,1.664,27.051,160.325,455.355,0.004,0.864,2399.019,0.002,0,G15-M17  
J150034.56+364845.1,0.061,0.066,3.878e9,0.364,0.05,0,48.087,0.1,-45.536,0,34.592,100.2,159.618,0.163,18.163,123.555,0.836,0,G15-M17  
J150721.87+101844.8,0.403,0.078,0.007,0.239,0.938,0.018,128.985,127.867,2.861,3.422,-15.428,68.066,241.934,0.011,1.404,231.334,0.056,0,M17  
J151319.23+343133.7,0.035,0.127,0.003,0.371,0.448,109.99,129.281,130.564,3.03,0.071,22.981,123.592,174.778,0.299,37.122,30.342,6.717,0,M17  
J152446.01+230723.5,0.041,0.216,0.031,1.062,0.392,0,133.387,134.184,5.103,7.192,119.436,147.459,313.923,0.06,9.582,47.937,2.898,0,M17  
J152922.49+362142.2,0.038,0.099,1.737,0.165,0.093,0,87.701,0.1,-5.682,0,-16.526,188.467,291.389,0.062,12.603,96.205,2.334,0,G15-M17  
J153437.61+251311.4,0.043,0.034,0.988,0.405,0.702,0.249,123.848,126.986,-0.524,0.478,-83.024,44.279,68.887,0.2,9.594,38.04,4.8,0,M17  
J153452.95+290919.8,0.049,0.201,0.006,0.281,1.39,0.088,139.345,144.185,13.816,1.474,142.085,556.791,611.721,0.034,10.919,53.238,1.454,0,M17  
J155902.70+230830.4,0.043,0.193,0.03,5.304,6.144,0,129.962,0.1,11.028,0,41.072,434.017,438.944,0.03,13.141,33.587,2.755,0,M17  
J160246.39+524358.3,0.577,0.106,71.53,0.036,0.162,0.062,120.743,83.752,-36.014,2.066,-202.735,448.433,624.031,0.009,3.361,982.676,0.01,0,G15-M17  
J160332.08+171155.3,0.278,0.034,0.05,0.708,0.714,0.479,93.436,91.249,1.083,0.698,-4.526,46.516,70.037,0.069,3.39,450.742,0.044,0,G15-M17  
J160338.06+155402.5,0.1,0.11,0.07,0.271,0.231,0,93.104,94.01,5.676,4.5,-30.413,348.911,447.286,0.121,31.673,98.432,0.392,0,G15-M17  
J160952.60+133148.0,0.034,0.036,0.037,6.863,0.553,0.104,129.624,129.235,7.63,1.719,40.389,267.235,287.481,0.144,22.235,21.888,16.406,0,M17  
J161217.62+282546.4,0.078,0.053,0.051,0.475,0.616,0,92.911,0.1,1.996,0,-5.693,76.496,112.209,0.045,3.548,133.051,0.528,0,G15-M17  
J161740.53+350015.1,0.141,0.03,0,6.729,1.375,1.29e5,116.327,116.807,3.328,0.631,-200.05,111.317,122.348,0.02,1.399,119.448,0.233,0,M17  
J163804.02+264329.1,0.041,0.065,0.047,0.294,0.39,0.034,130.403,129.427,1.878,3.805,54.594,71.887,246.621,0.098,11.721,48.122,3.625,0,M17  
J163844.80+275439.1,0.032,0.104,0.43,0.502,0.087,0,99.221,0.1,-0.446,0,-427.919,136.493,234.159,0.143,22.247,18.932,20.832,0,M17  
J163956.07+112757.4,0.159,0.079,0.251,0.954,1.089,0,126.38,0.1,1.141,0,-27.121,43.654,63.401,0.226,10.198,59.713,1.156,0,M17  
J170815.25+211117.7,0.034,0.224,0.156,0.376,0.206,0,128.791,0.1,4.197,0,28.331,183.398,268.024,0.14,26.512,31.035,7.751,0,M17  
J091927.61+014603.0,0.183,1.273,0.026,0.034,0.021,0.015,277.171,268.992,9.236,0.946,-2.449,129.994,198.64,0.013,1.785,382.282,0.32,0,D17b  
J152134.17+550857.2 ,0.195,1.07,0.041,0.696,0.076,0.004,255.158,262.361,-0.984,3.167,-2.507,8.312,44.195,0.023,0.437,326.081,0.701,0,D20  
